Average Rt(min),Average Mz,Average mobility,Average CCS,Metabolite name,Adduct type,Formula,INCHIKEY,SMILES,MS1 isotopic spectrum,MS/MS spectrum
15.855,710.68103,1.4081,287.4705,SE 28:2/20:0,[M+NH4]+,C48H84O2,HONSYXCJYKKODR-UHFFFAOYNA-N,CCCCCCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)C=CC(C)C(C)C,710.68597:5084 711.68932:0 712.69268:0,213.161:470 255.20799:485 273.259:305 275.27499:192 287.28:368 368.35501:274 369.35199:490 369.35501:243 381.28101:211 381.35501:1284 382.35699:262 527.48798:172 539.48401:43 692.67603:352 694.677:458
15.388,682.64301,1.39,284.0008,SE 28:1/18:1,[M+NH4]+,C46H80O2,FADVQEKKXJMGQA-YPKPFQOONA-N,CCCCCC\C=C/CCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(C)C(C)C,682.64301:5635 683.64636:0 684.64972:0,229.19501:1994 233.224:452 243.211:732 247.242:592 258.23401:514 259.23999:421 261.26501:880 273.259:1309 273.26199:639 285.255:717 355.33499:826 369.34601:1153 369.349:3676 369.35199:4221 369.35501:3661 370.353:3302 370.35901:421 383.36401:6955 383.367:10297 383.37:11030 383.37601:826 383.392:436 384.22:273 384.366:2127 384.36899:1612 384.37201:2034 384.375:3139 384.97699:382 385.27899:296 385.37201:499 385.375:732 385.37799:530
15.375,682.65997,1.3941,284.8393,SE 28:1/18:1,[M+NH4]+,C46H80O2,FADVQEKKXJMGQA-YPKPFQOONA-N,CCCCCC\C=C/CCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(C)C(C)C,682.65997:3153 683.66332:0 684.66668:0,244.215:570 259.23999:984 261.267:1453 274.26501:892 287.27701:579 302.297:1021 369.34299:883 369.34601:1186 369.349:4525 369.35199:4258 369.35501:2934 369.358:911 369.36099:1720 370.353:791 370.35599:543 370.366:395 370.84399:708 382.323:478 383.33899:846 383.36099:340 383.36401:4158 383.367:717 383.37:2125 383.37299:1867 383.37601:2005 384.36899:681 384.37201:506 384.384:865 385.43701:110 580.55298:322
15.08,680.63501,1.3871,283.4263,SE 28:1/18:2,[M+NH4]+,C46H78O2,UWRKAJLSOUBTRY-SQIWNDBBNA-N,CCCCC\C=C\C=C\CCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(C)C(C)C,680.63501:11540 681.63836:0 682.64172:0,158.17599:125 201.166:312 215.17799:339 215.181:212 215.188:121 216.194:161 217.192:155 217.194:101 219.21001:84 219.214:98 221.22501:285 221.22701:183 229.192:37 229.19501:120 233.229:198 234.226:116 234.231:120 241.19099:152 243.039:32 243.13499:68 243.207:135 243.209:218 243.211:393 243.214:331 243.231:12 243.453:33 243.97501:37 247.24001:170 247.245:242 247.25:212 247.252:160 249.257:74 249.25999:113 255.20799:133 255.211:87 256.216:87 257.22299:254 257.22501:192 257.228:319 257.23001:184 257.233:157 257.24301:27 258.229:182 259.23999:323 259.242:211 259.28299:123 260.25:130 261.25201:161 261.25699:223 261.267:110 262.26099:123 271.242:155 273.25601:260 273.259:649 273.26199:83 273.26401:115 273.26901:73 275.26999:106 275.272:83 285.255:104 285.25699:121 285.26501:88 286.258:134 286.26401:143 287.26599:237 287.271:335 287.27399:91 287.27701:212 287.28201:168 297.26001:138 299.168:12 299.26901:214 299.29901:151 300.272:127 300.28299:104 301.285:346 301.28799:132 301.29099:439 301.30499:47 302.29199:170 302.29501:55 302.314:196 313.28601:244 313.29501:75 327.29999:218 327.30301:64 327.306:130 328.306:130 341.323:148 369.349:74 370.35901:92 372.284:28 381.34601:43 381.349:329 381.35199:152 381.35501:101 381.358:12 382.354:56 382.79099:91 383.07901:56 383.16901:12 383.18701:54 383.21201:83 383.23401:56 383.28699:61 383.34201:59 383.358:362 383.36401:1911 383.367:41407 383.37:5883 383.38901:101 383.392:433 383.39499:17 383.48801:39 383.534:12 383.53799:48 383.54099:86 383.56201:39 383.57501:14 383.60901:12 383.61801:25 383.63699:12 383.64301:24 383.677:12 383.686:12 383.81:23 383.897:46 383.91:50 383.935:13 383.94699:142 383.95001:48 384.09601:27 384.164:32 384.366:1581 384.36899:6132 384.37201:3799 384.375:331 384.37799:104 384.40302:45 384.49301:63 384.51801:152 384.54599:45 384.75101:24 384.785:14 384.85599:43 384.94601:92 385.008:12 385.03299:61 385.05801:51 385.099:13 385.23199:64 385.36301:65 385.366:116 385.36899:430 385.37201:288 385.375:137 385.37799:236 385.46799:27 385.577:54 385.59601:64 385.65799:58 386.13699:77 386.38599:23 386.504:12 386.66:12 387.98001:68 388.164:95 428.88199:86 663.60797:47 680.63:91 680.63501:66 680.63898:66
15.855,710.68103,1.4222,290.3522,SE 28:1/20:1,[M+NH4]+,C48H84O2,NVTYTOIVVYCWAI-FOCLMDBBNA-N,CCCCCCCC\C=C\CCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(C)C(C)C,710.68103:3653 711.68438:0 712.68774:0,216.252:73 217.194:260 233.224:254 241.19099:246 243.207:328 243.216:217 244.22:195 257.22299:254 257.22501:411 260.255:268 261.255:192 263.28:157 273.254:79 273.259:485 274.25699:87 275.27499:236 277.40399:141 288.28101:271 299.27499:244 302.29199:206 367.33701:303 369.34:745 369.34299:460 369.349:1754 369.35199:520 369.35501:1567 369.36099:60 370.35001:273 370.353:739 370.35901:444 371.42899:54 383.36401:2717 383.367:8041 383.37:2769 383.39499:208 383.47198:143 384.366:257 384.36899:1242 384.37201:2155 384.375:1099 384.39099:271 384.61401:62 384.78201:100 384.94901:76 385.36899:143 386.327:60 386.591:57 387.267:135 392.06:119 465.43799:276 710.677:233
15.212,732.66602,1.4505,295.9575,SE 28:1/22:4,[M+NH4]+,C50H82O2,HIOQZJOUWWAHCK-SYNYMFHXNA-N,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(C)C(C)C,732.66602:4766 733.66937:0 734.67273:0,243.211:176 382.28601:940 383.36401:1390 383.367:3719 383.37:14778 384.36899:1135 384.37201:1781 384.375:2368 413.33899:1272 674.60199:1722
15.014,730.64502,1.4402,293.8841,SE 28:1/22:5,[M+NH4]+,C50H80O2,MMAWJUMKXVJSKJ-QXPCSDSJNA-N,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(C)C(C)C,730.64502:18088 731.64837:0 732.65173:0,229.19501:2173 233.265:3171 257.228:1507 287.26901:3053 288.26999:1703 314.638:607 369.349:4933 369.358:2055 370.353:3426 370.362:1683 383.358:1996 383.36099:2114 383.36401:2290 383.367:26091 383.37:16990 383.37601:2721 383.392:1664 384.36301:1390 384.36899:4306 384.37201:3915 384.375:3582 384.58899:431 385.37201:1801 385.38101:1292 385.745:1311 413.64801:215 713.62598:607
15.855,710.68103,1.4457,295.1602,CE 21:1,[M+NH4]+,C48H84O2,WIDXXMXIEZLSMF-NXVVXOECNA-N,CCCCCCCCC\C=C/CCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCCC(C)C,710.68103:2356 711.68438:0 712.68774:0,202.166:12 203.17599:97 215.181:67 215.183:84 216.17999:39 217.19901:73 218.21201:11 220.054:54 229.192:276 229.19701:83 233.22701:158 235.237:188 243.207:91 243.211:124 243.214:80 247.237:123 247.24699:82 255.216:138 257.22501:125 257.228:217 257.23001:111 259.23999:94 259.242:73 261.25201:127 263.267:105 273.25601:77 273.26401:93 287.26599:153 287.271:408 287.27399:376 287.27701:62 288.026:25 288.27301:80 288.27802:50 290.298:74 291.302:101 301.24701:23 301.27701:111 301.28299:162 301.285:96 301.29099:62 301.29401:91 302.00601:34 302.289:149 302.29199:42 307.29099:38 307.297:73 307.29999:107 313.28101:138 313.29199:95 325.31:52 367.33701:83 367.362:111 368.33899:71 369.34601:681 369.349:2868 369.35199:8665 369.35501:1917 369.358:168 369.36099:329 369.40701:20 369.41599:144 369.46701:12 369.92099:10 370.32001:136 370.34698:54 370.35001:597 370.353:859 370.35599:1790 370.35901:306 370.39301:122 370.80099:28 370.853:42 370.86801:10 371.207:12 371.35001:70 371.384:28 372.022:35 372.63199:32 373.336:65 373.703:25 374.21701:24 385.37799:95 385.59601:21 447.41599:94 471.423:131 488.453:93 553.505:63 555.50299:89 567.51398:38 569.51398:102 569.52899:71 569.54401:10 637.586:113 689.60101:74 689.61298:278 689.617:90 689.62201:60 689.62598:31 689.63:77 690.495:21 690.61499:75 690.62402:171 690.62799:75 692.88:45 693.64697:162 693.651:87 693.65601:188 693.65997:128 693.664:242 693.66803:84 694.65198:87 694.65698:40 694.66101:75 694.66498:84 694.67297:138 696.66498:58
14.778,640.604,1.3561,277.4375,CE 16:1,[M+NH4]+,C43H74O2,HODJWNWCVNUPAQ-SEYXRHQNNA-N,CCCCCC\C=C/CCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCCC(C)C,640.604:6431 641.60735:0 642.61071:0,203.187:3290 207.21201:743 215.17799:867 215.181:2022 216.185:784 216.187:856 217.194:671 220.216:877 221.23199:1692 222.23199:1289 229.19501:1455 233.22701:1929 233.231:578 234.29601:113 235.245:598 235.24699:722 243.207:1496 243.209:1723 243.211:1599 244.217:990 247.237:1197 247.242:2879 255.211:970 257.22501:980 257.228:1104 257.233:598 258.23099:1032 259.237:1887 259.242:3435 259.245:1001 261.25699:1713 271.245:928 273.259:949 285.255:1372 285.25699:1083 285.26001:1063 287.27399:1578 287.29001:681 287.293:609 288.276:134 299.27701:1197 302.297:980 369.19699:196 369.21799:144 369.28201:227 369.29099:1764 369.349:19826 369.35199:131690 369.35501:20775 369.36099:1135 369.379:990 369.51001:320 369.54999:227 370.33801:1093 370.34399:1001 370.35001:3631 370.353:10408 370.35599:17713 370.35901:8593 370.375:980 370.564:103 370.603:495 371.11801:289 371.20099:268 371.25601:237 371.353:547 371.35599:774 371.35901:2487 371.362:2032 371.36499:681 371.64001:413 371.92999:505 372.138:93 372.80701:320 374.37299:103 376.008:279
14.987,654.61798,1.3711,280.3833,CE 17:1,[M+NH4]+,C44H76O2,RLMIGWIAENJHMP-YPKPFQOONA-N,CCCCCCC\C=C/CCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCCC(C)C,654.61798:1829 655.62133:0 656.62469:0,203.17799:25 215.181:223 218.89101:89 219.21201:242 229.19501:201 229.202:482 235.242:78 243.207:223 243.211:192 243.22099:254 245.235:217 247.237:315 247.245:259 257.22501:231 257.228:379 259.24701:231 261.26001:340 271.23999:265 273.25601:251 274.259:189 287.27701:265 288.27802:588 314.29901:273 368.28201:75 368.996:128 369.069:61 369.25699:56 369.30301:70 369.349:4887 369.35199:10154 369.35501:4826 369.358:114 369.36099:540 369.37:61 369.37299:320 369.397:145 369.55301:215 369.897:100 370.228:334 370.259:25 370.34698:170 370.353:3436 370.35599:2151 370.35901:515 370.37201:279 370.99301:109 378.646:64 381.358:164 382.354:209 382.35699:206 382.586:61 382.94601:72 383.349:215 383.367:212 383.37:164 384.366:242 392.427:109
15.656,670.64801,1.3853,283.1297,CE 18:0,[M+NH4]+,C45H80O2,XHRPOTDGOASDJS-UHFFFAOYNA-N,CCCCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCCC(C)C,670.65198:606 671.65533:0 672.65869:0,213.177:130 215.174:137 215.181:26 216.183:133 217.799:52 219.21001:74 233.229:25 234.33:68 243.214:41 244.21201:105 245.22301:127 245.228:148 247.24001:99 257.02701:12 257.22:185 257.22299:86 257.22501:48 257.23001:80 258.23099:56 259.23999:51 259.242:59 259.57599:25 260.25:47 262.26099:34 273.25601:78 273.26199:84 274.26199:73 274.26501:67 287.27399:156 287.27701:176 297.29501:62 299.27499:47 313.28299:239 369.181:23 369.34601:110 369.349:1932 369.35199:7060 369.35501:1301 369.37601:105 369.379:13 369.38199:44 369.73199:9 370.35001:451 370.353:1386 370.35599:499 370.35901:195 370.362:72 370.37201:39 370.38699:9 370.41101:65 371.25:21 371.353:115 371.35901:95 371.59399:42 371.677:45 371.707:20 652.61902:99 670.69299:18
